100	1779
0	3	0.869248702266
0	13	0.508236401919
0	14	0.125615634275
0	23	0.374449684576
0	29	0.870751822544
0	33	0.448367670538
0	34	0.502575174482
0	40	0.434177582139
0	45	0.698147189503
0	54	0.28343372957
0	56	0.114789522127
0	57	0.41361133398
0	58	0.320206878979
0	60	0.266819029982
0	70	0.412099024122
0	71	0.468021427978
0	83	0.187000146777
0	91	0.381899760882
0	98	0.879140461899
0	99	0.915888586599
1	5	0.390870963863
1	10	0.317001370668
1	11	0.635510910845
1	13	0.311094246983
1	18	0.495767891562
1	19	0.54507768797
1	27	0.777549863076
1	28	0.38855575553
1	29	0.677889943977
1	40	0.31333089178
1	45	0.338490705649
1	47	0.6927680624
1	51	0.133726225903
1	53	0.962944734079
1	54	0.998180832676
1	57	0.935986104255
1	59	0.247937330785
1	61	0.186039721803
1	64	0.077472353556
1	66	0.388153668394
1	68	0.265271602635
1	80	0.523444194059
1	82	0.830346864774
1	88	0.583636533123
1	89	0.0813315742431
1	92	0.363905517057
1	98	0.163550621474
1	99	0.71001642251
2	1	0.14175254178
2	3	0.0471126940106
2	14	0.46843617544
2	29	0.685060164847
2	37	0.389816702275
2	48	0.0321891532929
2	49	0.491733060588
2	57	0.786044495718
2	68	0.625624269987
2	71	0.53697107869
2	75	0.601820665447
2	81	0.492312054256
2	85	0.653063224042
2	86	0.147171248162
2	90	0.348329362056
3	1	0.370475043747
3	20	0.0838090408879
3	24	0.836458659462
3	36	0.258606842902
3	37	0.571726093258
3	46	0.64865372064
3	47	0.260955066921
3	51	0.729885345112
3	52	0.137208051795
3	53	0.886701391977
3	54	0.474036699547
3	58	0.498709811284
3	73	0.0370381230031
3	78	0.387686390388
3	80	0.379237309109
3	87	0.350478579969
3	92	0.271408193339
3	93	0.183658014172
3	97	0.107743701646
4	5	0.56054761726
4	17	0.176522356183
4	18	0.540432171821
4	22	0.191719111546
4	24	0.422924712932
4	32	0.242031353054
4	33	0.773538305167
4	36	0.569908200733
4	40	0.630794829969
4	41	0.647511097819
4	44	0.663612244
4	46	0.362750773232
4	53	0.79213396654
4	57	0.524234930905
4	64	0.5279823302
4	87	0.846463939077
4	90	0.489296954485
5	0	0.335272914365
5	9	0.239816412363
5	19	0.276673020103
5	24	0.463023552438
5	25	0.155592175666
5	26	0.233698347578
5	40	0.663907953055
5	41	0.101651410009
5	48	0.438764421998
5	54	0.813599709432
5	56	0.636040854847
5	59	0.773063696321
5	61	0.460112674485
5	65	0.495318615802
5	69	0.592232274015
5	78	0.173818187552
5	91	0.0705878853577
5	96	0.28581516308
5	97	0.673634580387
6	0	0.76533724649
6	4	0.598646782859
6	7	0.10989568032
6	9	0.894493649874
6	21	0.650142449864
6	37	0.196751507416
6	42	0.917367324566
6	43	0.468994530213
6	46	0.501950774941
6	51	0.412572232428
6	52	0.241144572364
6	63	0.962103783766
6	68	0.470216030474
6	69	0.23320652176
6	70	0.694182741899
6	73	0.366346757304
6	74	0.772713484011
6	79	0.896022306253
6	84	0.507105183446
6	88	0.250259402344
6	89	0.785820472689
6	92	0.939838282863
6	96	0.0842450370241
6	97	0.513255135021
7	0	0.305074302073
7	10	0.360874653945
7	14	0.390630585014
7	16	0.436600050261
7	22	0.00699738761144
7	24	0.916786961457
7	33	0.407629715848
7	38	0.768828167459
7	39	0.793079443744
7	40	0.119446770531
7	42	0.734718420732
7	46	0.470009262253
7	48	0.89151138
7	57	0.866441423194
7	59	0.847697521961
7	61	0.917549360108
7	62	0.654495200238
7	69	0.245315014938
7	70	0.0155817538238
7	73	0.619981888178
7	74	0.309463276706
7	75	0.779300338206
7	81	0.722726044119
7	83	0.185399701952
7	86	0.00835433605824
7	93	0.0390627113206
7	95	0.0346529445015
8	6	0.181389212674
8	9	0.00150476002909
8	16	0.180310321917
8	22	0.853253874722
8	27	0.0132566216985
8	28	0.460956584856
8	30	0.305067280163
8	31	0.194656089897
8	38	0.982129363631
8	53	0.171536461652
8	58	0.384225808452
8	62	0.894260333849
8	69	0.821547596697
8	71	0.295230466292
8	72	0.385975789741
8	78	0.0861626333981
8	89	0.352254074517
8	92	0.794824242487
8	95	0.457078475
8	98	0.313451580018
8	99	0.00251123478019
9	15	0.0956739212299
9	19	0.334299842713
9	23	0.317408819716
9	25	0.358198779044
9	28	0.505484524084
9	29	0.548136714473
9	37	0.353238242297
9	42	0.513136723119
9	44	0.128468020521
9	49	0.017110972873
9	50	0.456877896898
9	62	0.593432655732
9	66	0.393734863547
9	70	0.657433485081
9	83	0.410190278455
9	89	0.48446827761
9	96	0.0120239044136
10	2	0.406550893488
10	6	0.87020471262
10	9	0.135579169245
10	14	0.549600241894
10	20	0.771178078089
10	21	0.422620356484
10	24	0.195654697217
10	26	0.853076719703
10	29	0.172036451801
10	34	0.215440865341
10	35	0.908734627118
10	37	0.139173726055
10	40	0.932120790629
10	42	0.18771807056
10	64	0.84022712151
10	69	0.765123963437
10	70	0.449957361148
10	72	0.53108797995
10	79	0.185715867048
10	87	0.048729122528
10	88	0.673555718058
10	90	0.217258516213
10	96	0.349838173754
10	97	0.499047773528
11	19	0.903410609746
11	21	0.929763478655
11	22	0.16319344117
11	25	0.823897947386
11	26	0.786685595902
11	36	0.681672561412
11	44	0.631321442161
11	53	0.297670658768
11	56	0.838368346535
11	59	0.901205096232
11	60	0.185774519218
11	73	0.293590700311
11	77	0.211381829159
11	81	0.896483466459
11	85	0.675167535348
11	86	0.78571065163
11	88	0.524997771046
11	89	0.435127137542
11	95	0.572656928897
12	0	0.426184247127
12	1	0.644991581937
12	2	0.0775579421013
12	5	0.0333300348026
