500	23658
0Lp1F4YqTM56	1EOXw42yNZsj	0.927775488104
0Lp1F4YqTM56	1HmMKptL1mpM	0.350922804744
0Lp1F4YqTM56	20i7pFbSfc9w	0.922202106413
0Lp1F4YqTM56	2WgIO1iOu2jG	0.191839171901
0Lp1F4YqTM56	471u0uOdJDWf	0.56587407204
0Lp1F4YqTM56	4nUtQkmNSFZZ	0.155910162871
0Lp1F4YqTM56	6SIPAbdztJ09	0.643872832384
0Lp1F4YqTM56	7yo5T1Dt3mNY	0.179546229463
0Lp1F4YqTM56	9u2TjBxhL47u	0.404338086099
0Lp1F4YqTM56	C8FU6a5etZNj	0.209723359336
0Lp1F4YqTM56	Dsr77Mm6i6NL	0.667925593647
0Lp1F4YqTM56	EnSxj7eKrtY8	0.277317738993
0Lp1F4YqTM56	IKlLzUOhi2Dr	0.754737048297
0Lp1F4YqTM56	J5hNn3GaU1br	0.488442800335
0Lp1F4YqTM56	JOAKEtF3Voal	0.0591974118649
0Lp1F4YqTM56	JwtjcMskmGDJ	0.00797355932445
0Lp1F4YqTM56	M4W2cqXQGChc	0.223283749079
0Lp1F4YqTM56	M8HcCW1s0gBY	0.380235699801
0Lp1F4YqTM56	OKWuQrTDKm9z	0.0715267383992
0Lp1F4YqTM56	PWB5GClbgwqO	0.374985724363
0Lp1F4YqTM56	PboPIdZAAAki	0.167054691374
0Lp1F4YqTM56	Px8R80so4Qzi	0.131763662725
0Lp1F4YqTM56	QGdGc0rq19ND	0.271958704742
0Lp1F4YqTM56	RsxXMjK8bHsZ	0.228258339673
0Lp1F4YqTM56	SzKQrjWsPsMp	0.733245633329
0Lp1F4YqTM56	T8SxmJTa9s2J	0.949328800184
0Lp1F4YqTM56	UUSJMrQ6Miqu	0.491573357666
0Lp1F4YqTM56	WmnwWTHkLHDL	0.200649616392
0Lp1F4YqTM56	Y0QcvNPdmE6a	0.732921862834
0Lp1F4YqTM56	YBhJUnHqK6Jd	0.208034442318
0Lp1F4YqTM56	YFfF4TV9UsBr	0.776452450947
0Lp1F4YqTM56	YrlOF30qXJrP	0.52185225402
0Lp1F4YqTM56	ZIegTLwREElg	0.134939918148
0Lp1F4YqTM56	ZMyMhVQ2ZWtC	0.343543449495
0Lp1F4YqTM56	dHGKrJbTEJnB	0.755237075494
0Lp1F4YqTM56	fiWcopYMsUkQ	0.27481266908
0Lp1F4YqTM56	iT3TVV6AP6IT	0.969394706824
0Lp1F4YqTM56	il4gECiloKsV	0.671636263831
0Lp1F4YqTM56	j2hJPsqGUi5P	0.337425298516
0Lp1F4YqTM56	jmZeTK5iDKQB	0.884700656014
0Lp1F4YqTM56	kMc8FDDD4H0K	0.97685260906
0Lp1F4YqTM56	kbwIjqZ6JaFo	0.547331060619
0Lp1F4YqTM56	lp0RcQlje3zO	0.0953060254259
0Lp1F4YqTM56	lzd2lTXxIuZD	0.201977545344
0Lp1F4YqTM56	mQXTWfTygzCz	0.917841458295
0Lp1F4YqTM56	nkbFwmwQjku9	0.501739705781
0Lp1F4YqTM56	p7bTLvf8CFtW	0.935155582886
0Lp1F4YqTM56	pGrTvaaMlnxN	0.442897784967
0Lp1F4YqTM56	pOTL5YGbtESc	0.000540632746452
0Lp1F4YqTM56	rI6Jctkb8bkm	0.0162021371686
0Lp1F4YqTM56	rYUUdXLgqUOO	0.0333032017079
0Lp1F4YqTM56	tHfQutJkMJEo	0.986289779977
